name,altname,wsname,aclass_base,base,aclass_quote,quote,lot,cost_decimals,pair_decimals,lot_decimals,lot_multiplier,leverage_buy,leverage_sell,fees,fees_maker,fee_volume_currency,margin_call,margin_stop,ordermin,costmin,tick_size,status,long_position_limit,short_position_limit
XTZUSD,XTZUSD,XTZ/USD,currency,XTZ,currency,ZUSD,unit,6,4,8,1,"[2, 3]","[2, 3]","[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,5,0.5,0.0001,online,140000,51000
XTZUSDT,XTZUSDT,XTZ/USDT,currency,XTZ,currency,USDT,unit,8,4,8,1,[],[],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1], [100000000, 0.08]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0], [100000000, 0.0]]",ZUSD,80,40,5,0.5,0.0001,online,,
XTZXBT,XTZXBT,XTZ/XBT,currency,XTZ,currency,XXBT,unit,8,7,8,1,[2],[2],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,5,0.00002,0.0000001,online,39000,21000
XXBTZCAD,XBTCAD,XBT/CAD,currency,XXBT,currency,ZCAD,unit,5,1,8,1,"[2, 3]","[2, 3]","[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,0.0001,,0.1,online,10,10
XXBTZEUR,XBTEUR,XBT/EUR,currency,XXBT,currency,ZEUR,unit,5,1,8,1,"[2, 3, 4, 5]","[2, 3, 4, 5]","[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,0.0001,0.45,0.1,online,200,120
XXBTZGBP,XBTGBP,XBT/GBP,currency,XXBT,currency,ZGBP,unit,5,1,8,1,"[2, 3]","[2, 3]","[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1], [100000000, 0.08]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0], [100000000, 0.0]]",ZUSD,80,40,0.0001,0.43,0.1,online,22,14
XXBTZJPY,XBTJPY,XBT/JPY,currency,XXBT,currency,ZJPY,unit,3,0,8,1,[],[],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1], [100000000, 0.08]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0], [100000000, 0.0]]",ZUSD,80,40,0.0001,50,1,online,,
XXBTZUSD,XBTUSD,XBT/USD,currency,XXBT,currency,ZUSD,unit,5,1,8,1,"[2, 3, 4, 5]","[2, 3, 4, 5]","[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1], [100000000, 0.08]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0], [100000000, 0.0]]",ZUSD,80,40,0.0001,0.5,0.1,online,270,180
XXDGXXBT,XDGXBT,XDG/XBT,currency,XXDG,currency,XXBT,unit,9,8,8,1,"[2, 3]","[2, 3]","[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1], [100000000, 0.08]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0], [100000000, 0.0]]",ZUSD,80,40,60,0.00002,0.00000001,online,1100000,880000
XXLMXXBT,XLMXBT,XLM/XBT,currency,XXLM,currency,XXBT,unit,9,8,8,1,[2],[2],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,60,0.00002,0.00000001,online,240000,160000
XXLMZAUD,XLMAUD,XLM/AUD,currency,XXLM,currency,ZAUD,unit,8,5,8,1,[],[],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1], [100000000, 0.08]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0], [100000000, 0.0]]",ZUSD,80,40,60,,0.00001,online,,
XXLMZEUR,XLMEUR,XLM/EUR,currency,XXLM,currency,ZEUR,unit,8,6,8,1,[2],[2],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,60,0.45,0.000001,online,1300000,660000
XXLMZGBP,XLMGBP,XLM/GBP,currency,XXLM,currency,ZGBP,unit,8,5,8,1,[],[],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,60,0.43,0.00001,online,,
XXLMZUSD,XLMUSD,XLM/USD,currency,XXLM,currency,ZUSD,unit,8,6,8,1,[2],[2],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1], [100000000, 0.08]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0], [100000000, 0.0]]",ZUSD,80,40,60,0.5,0.000001,online,910000,400000
XXMRXXBT,XMRXBT,XMR/XBT,currency,XXMR,currency,XXBT,unit,8,6,8,1,"[2, 3]","[2, 3]","[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1], [100000000, 0.08]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0], [100000000, 0.0]]",ZUSD,80,40,0.05,0.00002,0.000001,online,770,600
XXMRZEUR,XMREUR,XMR/EUR,currency,XXMR,currency,ZEUR,unit,8,2,8,1,[2],[2],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,0.05,0.45,0.01,online,490,340
XXMRZUSD,XMRUSD,XMR/USD,currency,XXMR,currency,ZUSD,unit,8,2,8,1,[2],[2],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1], [100000000, 0.08]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0], [100000000, 0.0]]",ZUSD,80,40,0.05,0.5,0.01,online,840,650
XXRPXXBT,XRPXBT,XRP/XBT,currency,XXRP,currency,XXBT,unit,9,8,8,1,"[2, 3]","[2, 3]","[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,12.5,0.00002,0.00000001,online,170000,160000
XXRPZCAD,XRPCAD,XRP/CAD,currency,XXRP,currency,ZCAD,unit,8,5,8,1,[],[],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1], [100000000, 0.08]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0], [100000000, 0.0]]",ZUSD,80,40,12.5,,0.00001,online,,
XXRPZEUR,XRPEUR,XRP/EUR,currency,XXRP,currency,ZEUR,unit,8,5,8,1,"[2, 3, 4, 5]","[2, 3, 4, 5]","[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,12.5,0.45,0.00001,online,980000,430000
XXRPZJPY,XRPJPY,XRP/JPY,currency,XXRP,currency,ZJPY,unit,8,3,8,1,[],[],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,12.5,50,0.001,online,,
